category,year,country,title,character,sex,peak_year,peak_freq_per_100k,t5_year,t5_freq_per_100k,persistence_p5_pct,status,did_net_effect_pct
Sport,2006,IT,Mondiali 2006 Campioni del Mondo,Gianluigi,M,2007,31.48,2012,27.58,87.6,Adozione Strutturale (Persistente),-42.17
Sport,2006,IT,Mondiali 2006 Campioni del Mondo,Fabio,M,2007,517.28,2012,299.66,57.9,Decadimento Moderato,-8.43
Sport,2006,IT,Mondiali 2006 Campioni del Mondo,Alessandro,M,2007,3259.35,2012,2953.72,90.6,Adozione Strutturale (Persistente),2.32
Sport,2007,IT,Champions League AC Milan,Filippo,M,2009,1202.24,2014,964.06,80.2,Adozione Strutturale (Persistente),-9.29
Sport,2010,IT,Triplete Inter Champions League,Diego,M,2012,1062.22,2017,1260.68,118.7,Adozione Strutturale (Persistente),41.25
Sport,2011,IT,Scudetto AC Milan,Thiago,M,2013,68.38,2018,83.79,122.5,Adozione Strutturale (Persistente),715.57
Sport,2012,IT,Euro 2012 Italia Vice-Campione,Mario,M,2013,398.92,2018,357.66,89.7,Adozione Strutturale (Persistente),1.87
Sport,2018,IT,Trasferimento Record Serie A,Cristiano,M,2019,144.82,2024,69.71,48.1,Decadimento Moderato,14.12
Sport,2021,IT,Euro 2020 Campioni d'Europa,Nicolò,M,2023,147.67,2024,182.19,123.4,Adozione Strutturale (Persistente),-79.87
Sport,2021,IT,Euro 2020 Campioni d'Europa,Federico,M,2022,1265.93,2024,1097.39,86.7,Adozione Strutturale (Persistente),-0.53
Sport,2021,IT,Euro 2020 Campioni d'Europa,Ciro,M,2022,176.33,2024,179.55,101.8,Adozione Strutturale (Persistente),9.36
