year,name,gender,count,percent
1999,"ROSA",f,757,0.30231508660109
1999,"MELISSA",f,753,0.30071764889118
1999,"MATILDE",f,748,0.29872085175379
1999,"DANIELA",f,742,0.29632469518892
1999,"DENISE",f,726,0.28993494434926
1999,"ANNALISA",f,713,0.28474327179205
1999,"VIRGINIA",f,704,0.28114903694474
1999,"VITTORIA",f,680,0.27156441068526
1999,"EMMA",f,658,0.26277850328074
1999,"MIRIANA",f,621,0.24800220446404
1999,"LINDA",f,586,0.2340246245023
1999,"ROSSELLA",f,582,0.23242718679239
1999,"FABIANA",f,563,0.2248393576703
1999,"MONICA",f,557,0.22244320110543
1999,"GIUSEPPINA",f,555,0.22164448225047
1999,"DEBORA",f,554,0.22124512282299
1999,"CARMELA",f,552,0.22044640396804
1999,"CECILIA",f,535,0.2136572937009
1999,"SONIA",f,533,0.21285857484595
1999,"CAROLINA",f,527,0.21046241828108
1999,"RITA",f,514,0.20527074572386
1999,"ISABELLA",f,494,0.19728355717429
1999,"SHARON",f,490,0.19568611946438
1999,"FLAVIA",f,486,0.19408868175447
1999,"CARMEN",f,456,0.18210789893012
1999,"GINEVRA",f,446,0.17811430465533
1999,"AGNESE",f,440,0.17571814809046
1999,"VIOLA",f,429,0.1713251943882
1999,"LARA",f,423,0.16892903782333
1999,"RAFFAELLA",f,414,0.16533480297603
1999,"LUISA",f,407,0.16253928698368
1999,"YLENIA",f,402,0.16054248984629
1999,"BARBARA",f,391,0.15614953614402
1999,"MANUELA",f,391,0.15614953614402
1999,"DEBORAH",f,390,0.15575017671655
1999,"MARINA",f,378,0.15095786358681
1999,"MADDALENA",f,375,0.14975978530437
1999,"GIUSY",f,374,0.14936042587689
1999,"MARIA CHIARA",f,372,0.14856170702194
1999,"SARAH",f,367,0.14656490988455
1999,"BIANCA",f,365,0.14576619102959
1999,"CLARA",f,365,0.14576619102959
1999,"NADIA",f,364,0.14536683160211
1999,"DESIREE",f,348,0.13897708076246
1999,"ESTER",f,331,0.13218797049533
1999,"LORENZA",f,329,0.13138925164037
1999,"ANTONIETTA",f,318,0.12699629793811
1999,"MARIA PIA",f,315,0.12579821965567
1999,"MARICA",f,314,0.12539886022819
1999,"VIVIANA",f,309,0.1234020630908
1999,"ANNAMARIA",f,305,0.12180462538089
1999,"CARLA",f,303,0.12100590652593
1999,"MARIA GRAZIA",f,302,0.12060654709845
1999,"LUANA",f,297,0.11860974996106
1999,"COSTANZA",f,296,0.11821039053358
1999,"ADRIANA",f,288,0.11501551511376
1999,"MICHELLE",f,287,0.11461615568628
1999,"MELANIA",f,284,0.11341807740384
1999,"GRAZIA",f,282,0.11261935854889
1999,"JENNIFER",f,279,0.11142128026645
1999,"FABIOLA",f,277,0.1106225614115
1999,"GABRIELLA",f,277,0.1106225614115
1999,"CAROLA",f,274,0.10942448312906
1999,"SUSANNA",f,266,0.10622960770923
1999,"MARA",f,263,0.1050315294268
1999,"MARZIA",f,262,0.10463216999932
1999,"NICOLETTA",f,262,0.10463216999932
1999,"EVA",f,261,0.10423281057184
1999,"ASSUNTA",f,259,0.10343409171689
1999,"CONCETTA",f,258,0.10303473228941
1999,"KATIA",f,257,0.10263537286193
1999,"SAMANTHA",f,257,0.10263537286193
1999,"ROSARIA",f,251,0.10023921629706
1999,"ANNA MARIA",f,250,0.099839856869581
1999,"DALILA",f,250,0.099839856869581
1999,"FILOMENA",f,249,0.099440497442103
1999,"ANTONIA",f,244,0.097443700304711
1999,"DILETTA",f,241,0.096245622022276
1999,"LORENA",f,241,0.096245622022276
1999,"ANITA",f,232,0.092651387174971
1999,"GIULIANA",f,232,0.092651387174971
1999,"MARIAGRAZIA",f,231,0.092252027747493
1999,"CLARISSA",f,228,0.091053949465058
1999,"VINCENZA",f,222,0.088657792900188
1999,"ADELE",f,216,0.086261636335318
1999,"MARIANGELA",f,212,0.084664198625405
1999,"EMILIA",f,211,0.084264839197927
1999,"SIRIA",f,211,0.084264839197927
1999,"MARIA TERESA",f,209,0.08346612034297
1999,"IRIS",f,207,0.082667401488013
1999,"NUNZIA",f,205,0.081868682633057
1999,"ANDREA",f,203,0.0810699637781
1999,"MARIA VITTORIA",f,201,0.080271244923143
1999,"NAOMI",f,200,0.079871885495665
1999,"ENRICA",f,199,0.079472526068187
1999,"JASMINE",f,197,0.07867380721323
1999,"ANNARITA",f,196,0.078274447785752
1999,"ANASTASIA",f,193,0.077076369503317
1999,"ROSANNA",f,193,0.077076369503317
1999,"STELLA",f,193,0.077076369503317
1999,"IMMACOLATA",f,190,0.075878291220882
1999,"PAMELA",f,190,0.075878291220882
1999,"MARIAPIA",f,189,0.075478931793403
1999,"EMILY",f,187,0.074680212938447
1999,"NATALIA",f,183,0.073082775228533
1999,"MARIACHIARA",f,182,0.072683415801055
1999,"LAVINIA",f,180,0.071884696946098
1999,"PATRIZIA",f,178,0.071085978091142
1999,"MORENA",f,176,0.070287259236185
1999,"DIANA",f,172,0.068689821526272
1999,"FRANCESCA PIA",f,171,0.068290462098794
1999,"ALEXIA",f,170,0.067891102671315
1999,"AMBRA",f,170,0.067891102671315
1999,"MARIA ROSARIA",f,168,0.067092383816359
1999,"SELENE",f,168,0.067092383816359
1999,"MICAELA",f,167,0.06669302438888
1999,"MILENA",f,167,0.06669302438888
1999,"ROSSANA",f,167,0.06669302438888
1999,"MARIAROSARIA",f,162,0.064696227251489
1999,"ANNACHIARA",f,156,0.062300070686619
1999,"AZZURRA",f,155,0.06190071125914
1999,"LIVIA",f,154,0.061501351831662
1999,"LUNA",f,154,0.061501351831662
1999,"MARIA FRANCESCA",f,150,0.059903914121749
1999,"SOPHIA",f,150,0.059903914121749
1999,"GIOIA",f,148,0.059105195266792
1999,"ROMINA",f,148,0.059105195266792
1999,"DESIRE",f,147,0.058705835839314
1999,"CINZIA",f,146,0.058306476411835
1999,"TIZIANA",f,145,0.057907116984357
